Number of spins in each direction: 10
Total number of MC cycles: 1000000
Initial spin configuration: random
T              E              M  specific_heat susceptibility
2        -174.56         91.128        72.3584        37.5682
2.05       -170.649        89.2599        82.5021        53.3916
2.1       -166.388        87.1333        91.9383        71.0808
2.15       -161.377        84.3319        103.536        98.1031
2.2       -155.901        81.0319         114.65        130.904
2.25       -149.836        77.1322        123.512        165.966
2.3       -143.636        72.8211        129.623        202.237
2.35       -137.118        68.1964        130.934        229.255
2.4       -130.469         63.083        128.386        252.424
