Number of spins in each direction: 20
Total number of MC cycles: 1000000
Initial spin configuration: random
T              E              M  specific_heat susceptibility
2       -697.892        364.333        291.834        160.307
2.05       -1380.48         721.32        -226097        -126497
2.1       -2045.32        1068.89        -631310        -361872
2.15       -2688.55        1402.45  -1.17105e+006        -684407
2.2       -3307.85        1718.36  -1.80591e+006  -1.07038e+006
2.25       -3898.06        2008.19  -2.49721e+006  -1.48725e+006
2.3       -4455.94           2264  -3.21132e+006  -1.89862e+006
2.35       -4980.87        2481.62  -3.92258e+006  -2.27397e+006
2.4       -5475.74        2663.42  -4.61616e+006  -2.59905e+006
