Number of spins in each direction: 20
Total number of MC cycles: 1000000
Initial spin configuration: random
T              E              M  specific_heat susceptibility
2       -697.901        364.346        291.251        159.471
2.05       -682.844        357.266         330.57        224.028
2.1       -664.588        347.301        387.377        394.259
2.15       -643.906        334.365        455.874        680.471
2.2       -619.235        316.118        534.832        1189.67
2.25       -590.237        289.892        619.868        2046.82
2.3       -557.361        254.812        667.957        3036.53
2.35       -524.855        217.093        642.582         3607.4
2.4       -494.937        182.223        562.988        3506.07
